Taxa,Infrataxa,Population,MCA,CVCL,LTC
A. werdermannii,flavicans,4427,46.5,58.2,177.2
A. werdermannii,flavicans,4427,46.9,63.5,163.4
A. werdermannii,flavicans,4427,46,63.2,158.5
A. werdermannii,flavicans,4427,49.8,58.8,162.3
A. werdermannii,flavicans,4427,48.9,65,155.4
A. werdermannii,flavicans,4427,48.8,62,156.2
A. werdermannii,werdermannii,4425,44.3,48.8,156
A. werdermannii,werdermannii,4425,44.9,54.6,144.8
A. werdermannii,werdermannii,4425,41.8,49.1,177
A. werdermannii,werdermannii,4425,46,52.1,146.2
A. werdermannii,werdermannii,4425,45.6,51.4,160.4
A. werdermannii,werdermannii,4425,43.8,52.8,158.6
A. werdermannii,werdermannii,4421,42.3,51.8,176.3
A. werdermannii,werdermannii,4421,46.2,54.8,150.3
A. werdermannii,werdermannii,4421,42,54.7,140
A. werdermannii,werdermannii,4421,49.2,56.3,160.4
A. werdermannii,werdermannii,4421,45.3,55.5,168.1
A. werdermannii,werdermannii,4421,47,56.1,165.8
